POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
286,Donker Malte,HAN,RB,36,-,-,3,100.00%,-,-,-,-,1,50.00%,2,100.00%
287,Apfel Fabian,COB,GK,11,-,-,-,-,-,-,-,-,-,-,-,-
288,Haider Maximilian,LUD,P,37,-,-,2,66.67%,-,-,-,-,41,78.85%,3,50.00%
289,Nothdurft Tim,HBW,LW,37,-,-,4,100.00%,-,-,79,70.54%,3,60.00%,31,88.57%
290,Timm Marcel,TBV,P,36,-,-,5,55.56%,-,-,-,-,46,74.19%,2,100.00%
291,Neuhold Christoph,COB,CB,32,-,-,10,50.00%,19,47.50%,-,-,-,-,-,-
292,Van den Beucken Mark,TBV,GK,21,-,-,-,-,-,-,-,-,-,-,-,-
293,Ebner Domenico,HAN,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
294,Babak Tomas,BHC,CB,36,-,-,42,79.25%,10,50.00%,1,50.00%,4,80.00%,6,85.71%
295,Gullerud Magnus,SCM,P,33,-,-,4,66.67%,-,-,-,-,40,83.33%,5,83.33%
296,Kellner Benedikt,HCE,CB,33,-,-,21,67.74%,20,58.82%,-,-,1,100.00%,1,100.00%
297,Buric Benjamin,SGF,GK,28,-,-,-,-,-,-,-,-,-,-,-,-
298,Firnhaber Lucas,TUE,RB,38,-,-,40,67.80%,86,45.74%,1,100.00%,1,100.00%,2,66.67%
299,Bilyk Nikola,THW,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
300,Wolf Christopher,TUE,LB,8,-,-,-,-,-,-,-,-,-,-,-,-
301,Fuchs Arne,TUE,GK,13,-,-,-,-,-,-,-,-,-,-,-,-
302,Lehmann Nick,TVB,GK,8,-,-,-,-,-,-,-,-,-,-,-,-
303,Kluge Justus Max,SCM,LW,30,-,-,-,-,-,-,3,60.00%,-,-,3,100.00%
304,Zobel Rene,HBW,RB,34,-,-,13,54.17%,31,54.39%,-,-,-,-,5,83.33%
305,Witzke Luca,LEI,CB,21,-,-,48,81.36%,18,47.37%,-,-,-,-,8,80.00%
306,Diebel Niklas,HBW,LB,24,-,-,7,70.00%,8,44.44%,-,-,-,-,-,-
307,Rozman Tim,TUE,RB,34,-,-,17,51.52%,14,43.75%,-,-,1,100.00%,1,25.00%
308,Remmlinger Jan,LUD,LB,32,-,-,6,66.67%,4,28.57%,19,57.58%,6,100.00%,19,73.08%
309,Feise Hannes,HAN,LW,36,-,-,-,-,1,33.33%,23,60.53%,2,66.67%,1,100.00%
310,Richtzenhain Justus Nicolas,GWD,P,38,-,-,4,57.14%,-,-,-,-,50,80.65%,2,100.00%
311,Simak Frederik,TBV,LB,23,-,-,20,60.61%,16,45.71%,1,100.00%,1,100.00%,7,87.50%
312,Lemke Jari,TBV,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
313,Norouzinezhad Gharehlou Pouya,COB,LB,32,-,-,44,72.13%,23,46.94%,-,-,2,100.00%,3,100.00%
314,Vorlicek Philipp,NOL,RB,36,-,-,63,71.59%,48,52.17%,-,-,1,100.00%,3,100.00%
315,Matthes Tim,BER,LW,38,-,-,9,81.82%,2,100.00%,30,49.18%,7,87.50%,17,94.44%
316,Zecher Finn,TBV,GK,19,-,-,-,-,-,-,-,-,-,-,1,100.00%
317,Boieck Janis,HCE,GK,16,-,-,-,-,-,-,-,-,-,-,-,-
318,Zarabec Miha,THW,CB,37,-,-,33,73.33%,29,54.72%,-,-,2,100.00%,1,100.00%
319,Buhrer Pascal,LUD,CB,35,-,-,25,73.53%,15,50.00%,6,85.71%,3,100.00%,-,-
320,Chrapkowski Piotr,SCM,LB,38,-,-,9,69.23%,2,40.00%,-,-,-,-,3,75.00%
321,Rothlisberger Samuel,TVB,P,38,-,-,3,100.00%,-,-,-,-,17,68.00%,-,-
322,Hafner Max,TVB,CB,37,-,-,21,52.50%,56,53.85%,-,-,3,75.00%,7,77.78%
323,Krone Jannes,HAN,RW,38,-,-,2,50.00%,-,-,13,54.17%,1,50.00%,3,75.00%
324,Buchner Vincent,HAN,LW,35,-,-,7,70.00%,1,100.00%,50,76.92%,4,66.67%,34,85.00%
325,Pusica Miljan,GWD,LB,10,-,-,1,33.33%,1,25.00%,-,-,1,100.00%,-,-
326,Saueressig Lukas,HBW,CB,38,-,-,59,74.68%,31,49.21%,-,-,3,60.00%,2,66.67%
327,Knauer Jakob,COB,RB,6,-,-,8,88.89%,4,44.44%,-,-,-,-,1,100.00%
328,Varvne Tobias,COB,LB,32,-,-,70,76.92%,38,42.70%,-,-,1,33.33%,1,100.00%
329,Rod Magnus,SGF,RB,38,-,-,50,73.53%,54,55.10%,-,-,1,100.00%,11,100.00%
330,Thiele Joshua,GWD,P,33,-,-,1,20.00%,-,-,-,-,26,65.00%,2,100.00%
332,Kristjansson Gisli Thorgeir,SCM,CB,21,-,-,28,84.85%,9,47.37%,-,-,-,-,-,-
333,Abutovic Ilija,RNL,LB,27,-,-,-,-,-,-,-,-,-,-,-,-
334,Marsenic Mijajlo,BER,P,38,-,-,11,57.89%,1,20.00%,-,-,86,72.88%,17,89.47%
335,Fredriksen Magnus,WET,CB,36,-,-,41,67.21%,16,59.26%,-,-,5,71.43%,3,60.00%
336,Larsen Martin,LEI,RB,26,-,-,22,61.11%,21,58.33%,-,-,3,100.00%,6,85.71%
337,Hald Jensen Simon,SGF,P,36,-,-,3,60.00%,1,50.00%,-,-,27,84.38%,2,100.00%
338,Smarason Janus Dadi,FAG,CB,14,-,-,12,60.00%,7,30.43%,1,50.00%,3,100.00%,1,50.00%
339,Ellebaek Tobias,FAG,LB,35,-,-,36,76.60%,32,45.07%,-,-,1,100.00%,1,100.00%
340,Henningsson Philip,WET,LB,38,-,-,10,66.67%,5,35.71%,-,-,8,88.89%,5,71.43%
341,Jonsson Gunnar Steinn,FAG,CB,22,-,-,6,42.86%,3,100.00%,-,-,-,-,-,-
342,Arnarsson Arnar Freyr,MTM,P,35,-,-,3,75.00%,-,-,-,-,19,67.86%,1,100.00%
343,Asgeirsson Elvar,TVB,LB,17,-,-,3,100.00%,-,-,-,-,-,-,-,-
344,Beciri Kristian,HBW,P,17,-,-,-,-,-,-,-,-,31,73.81%,3,75.00%
345,Lesjak Urban,HAN,GK,37,-,-,-,-,-,-,-,-,-,-,-,-
346,Gislason Ymir Orn,RNL,P,37,-,-,2,50.00%,-,-,-,-,15,78.95%,4,50.00%
347,Scott James,HBW,LB,19,-,-,17,68.00%,24,50.00%,-,-,-,-,2,100.00%
348,Bozic-Pavletic Josip,FAG,RW,23,-,-,6,66.67%,-,-,23,62.16%,2,100.00%,13,92.86%
349,Lagarde Romain,RNL,LB,33,-,-,18,58.06%,19,51.35%,1,50.00%,1,50.00%,7,87.50%
350,Kastelic Urh,FAG,GK,37,-,-,-,-,1,100.00%,-,-,-,-,-,-
351,Pavlovic Domagoj,MTM,CB,34,-,-,65,73.86%,28,58.33%,-,-,2,100.00%,5,83.33%
352,Cehte Nejc,HAN,RB,36,-,-,35,66.04%,34,47.22%,7,43.75%,-,-,9,100.00%
353,Ferlin Klemen,HCE,GK,22,-,-,-,-,-,-,-,-,-,-,-,-
354,Ivanisevic Tibor,WET,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
355,Baijens Dani,TBV,CB,37,-,-,48,62.34%,23,56.10%,-,-,1,50.00%,3,100.00%
356,Klein Jannek,LUD,RB,37,-,-,17,73.91%,17,39.53%,1,100.00%,-,-,1,100.00%
357,Tomovski Martin,LUD,GK,37,-,-,-,-,-,-,-,-,-,-,-,-
358,Meister Lucas,GWD,P,23,-,-,3,37.50%,-,-,-,-,42,75.00%,4,50.00%
359,Trost Sebastian,RNL,CB,3,-,-,-,-,-,-,-,-,-,-,-,-
360,Peshevski Zarko,TVB,P,38,-,-,3,42.86%,1,33.33%,-,-,86,76.11%,-,-
361,Roller Lars,HBW,P,8,-,-,-,-,-,-,-,-,6,85.71%,-,-
362,Bergerud Torbjorn,SGF,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
363,Mosindi Daniel,HCE,RB,27,-,-,25,67.57%,8,30.77%,-,-,-,-,1,100.00%
364,Padshyvalau Aliaksandr,GWD,CB,23,-,-,9,40.91%,6,42.86%,-,-,1,50.00%,-,-
365,Saeveraas Kristian,LEI,GK,34,-,-,-,-,-,-,-,-,-,-,-,-
366,Srsen Ivan,WET,RB,37,-,-,26,68.42%,12,60.00%,-,-,-,-,4,80.00%
367,Diedrich Lukas,TUE,GK,31,-,-,-,-,-,-,-,-,-,-,1,100.00%
368,Kurch Justin,COB,P,27,-,-,-,-,-,-,-,-,20,68.97%,-,-
369,Holm Jacob,BER,CB,33,-,-,83,78.30%,20,37.74%,-,-,4,57.14%,3,100.00%
370,Pehlivan Doruk,GWD,LB,31,-,-,57,70.37%,45,45.92%,-,-,2,100.00%,2,33.33%
371,Ravensbergen Bart,NOL,GK,38,-,-,1,100.00%,1,100.00%,-,-,-,-,-,-
372,Visser Sander,NOL,RW,38,-,-,-,-,-,-,8,66.67%,-,-,1,50.00%
373,Simonsen Christian Ole,LEI,GK,4,-,-,-,-,-,-,-,-,-,-,-,-
374,Milosavljev Dejan,BER,GK,37,-,-,-,-,-,-,-,-,-,-,-,-
375,Sogard Johannessen Goran,SGF,LB,38,-,-,46,79.31%,36,48.65%,-,-,-,-,14,87.50%
376,Kirkelokke Niclas,RNL,RB,38,-,-,38,77.55%,30,47.62%,4,66.67%,1,100.00%,2,66.67%
377,Zeman Stepan,COB,P,38,-,-,3,75.00%,-,-,-,-,94,77.05%,1,100.00%
378,Moller Lasse,SGF,LB,5,-,-,8,66.67%,9,81.82%,-,-,-,-,2,100.00%
379,Overby Petter,HCE,P,21,-,-,4,57.14%,-,-,1,100.00%,20,83.33%,3,75.00%
380,Rica-Kovac Sebastian,TVB,GK,4,-,-,-,-,-,-,-,-,-,-,-,-
381,Hangstein Fynn,TBV,CB,38,-,-,8,44.44%,18,51.43%,2,100.00%,-,-,3,100.00%
383,Strosack Moritz,HBW,RW,36,-,-,7,77.78%,-,-,24,57.14%,2,66.67%,12,66.67%
384,Bergner Tom,BHC,P,31,-,-,-,-,-,-,-,-,3,75.00%,1,100.00%
385,Geis Linus,TBV,LB,31,-,-,-,-,1,33.33%,-,-,-,-,-,-
386,Ehlers Matteo,HAN,CB,8,-,-,-,-,-,-,1,50.00%,-,-,1,100.00%
387,Bitzer Jan,HBW,CB,3,-,-,-,-,-,-,-,-,-,-,-,-
388,Ingenpass Niklas,TUE,P,16,-,-,-,-,-,-,-,-,4,80.00%,2,100.00%
389,Hoblaj Leon,LUD,GK,15,-,-,-,-,-,-,-,-,-,-,-,-
390,Sunnefeldt Oskar,THW,LB,36,-,-,12,70.59%,21,47.73%,-,-,-,-,5,100.00%
391,Ruminsky Mario,HBW,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
392,Weber Ian,WET,CB,1,-,-,-,-,-,-,-,-,-,-,-,-
393,Prakapenia Anton,NOL,LB,10,-,-,1,50.00%,2,40.00%,-,-,-,-,-,-
394,Strakeljahn Simon,GWD,CB,37,-,-,14,51.85%,3,23.08%,-,-,1,50.00%,1,100.00%
395,Erifopoulos Christos,FAG,CB,3,-,-,-,-,-,-,-,-,-,-,-,-
396,Brand Tim,GWD,CB,10,-,-,-,-,-,-,-,-,-,-,-,-
397,Sikosek Pelko Domen,SGF,P,13,-,-,2,33.33%,-,-,-,-,21,77.78%,-,-
398,Durmaz Tolga,TUE,P,36,-,-,-,-,1,100.00%,-,-,15,60.00%,-,-
399,Damm Benedikt,LUD,P,5,-,-,-,-,-,-,-,-,1,50.00%,-,-
400,Marschall Tarek,HCE,CB,26,-,-,9,47.37%,12,42.86%,1,100.00%,2,66.67%,-,-
401,Juric Petar,HAN,CB,13,-,-,-,-,-,-,-,-,4,80.00%,-,-
402,Szeles Akos,LEI,RB,7,-,-,-,-,-,-,-,-,-,-,-,-
404,Esche Marc,LEI,LW,32,-,-,2,66.67%,-,-,13,68.42%,1,100.00%,3,60.00%
405,Schalles Maxim,TBV,RW,1,-,-,-,-,-,-,3,75.00%,-,-,1,50.00%
406,Heinzelmann Tobias,HBW,P,26,-,-,2,50.00%,1,100.00%,-,-,13,72.22%,1,100.00%
407,Schluroff Miro,GWD,LB,26,-,-,21,65.63%,9,23.68%,-,-,1,50.00%,-,-
408,Hanne Martin,HAN,LB,38,-,-,36,78.26%,30,44.78%,-,-,-,-,3,100.00%
409,Foege Luis Plymford,TVB,RB,4,-,-,-,-,-,-,-,-,-,-,-,-
410,Meyer-Siebert Julius,LEI,LB,26,-,-,9,75.00%,16,48.48%,-,-,-,-,-,-
411,Dreyer Paul,COB,GK,9,-,-,-,-,-,-,-,-,-,-,-,-
412,Neumann Nicolas,LEI,LW,9,-,-,-,-,-,-,-,-,-,-,-,-
413,Bialowas Yannik,HCE,LW,8,-,-,-,-,1,50.00%,1,100.00%,-,-,-,-
414,Ahouansou Philipp,RNL,LB,34,-,-,10,66.67%,13,38.24%,-,-,-,-,1,50.00%
415,Wernlein Felix,HAN,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
416,Grabenstein Leon,GWD,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
417,Klama Joonas,BHC,GK,2,-,-,-,-,-,-,-,-,-,-,-,-
418,Hummel Finn,TVB,GK,2,-,-,-,-,-,-,-,-,-,-,-,-
419,Molz Jonas,GWD,LB,2,-,-,-,-,-,-,-,-,-,-,-,-
420,Jensen Mike,HBW,GK,38,-,-,-,-,-,-,-,-,-,-,-,-
421,Suljakovic Anadin,WET,GK,12,-,-,-,-,-,-,-,-,-,-,-,-
422,Laurenz Kluth,TUE,CB,27,-,-,3,60.00%,4,33.33%,-,-,-,-,4,80.00%
423,Ehrig Sven,THW,RW,32,-,-,2,33.33%,2,100.00%,13,48.15%,1,100.00%,24,85.71%
424,Becher Lukas,TUE,LW,38,-,-,3,75.00%,-,-,34,66.67%,-,-,23,95.83%
426,Nicolaus Fynn-Luca,TVB,LB,29,-,-,3,100.00%,-,-,-,-,1,50.00%,-,-
427,Bauer Stefan,HCE,P,12,-,-,-,-,-,-,-,-,-,-,3,100.00%
428,Mustafic Dino,COB,CB,18,-,-,-,-,2,100.00%,-,-,-,-,-,-
429,Pregler Ole,MTM,CB,33,-,-,4,50.00%,1,25.00%,-,-,-,-,-,-
430,Meddeb Yessine,LUD,RB,38,-,-,4,40.00%,4,50.00%,1,100.00%,1,100.00%,1,100.00%
431,Lichtlein Nils,BER,CB,5,-,-,-,-,-,-,-,-,-,-,-,-
432,Keskic Enes,BER,LW,7,-,-,-,-,-,-,3,100.00%,-,-,1,100.00%
433,Schikora Paul,COB,RW,31,-,-,2,66.67%,-,-,5,83.33%,-,-,3,100.00%
434,Ludwig Lasse,BER,GK,2,-,-,-,-,-,-,-,-,-,-,-,-
435,Freihofer Tim,BER,LW,9,-,-,2,66.67%,-,-,12,80.00%,-,-,1,100.00%
436,Uscins Renars,BHC,RB,23,-,-,17,62.96%,2,25.00%,-,-,-,-,3,100.00%
437,Patzwaldt Janik,SCM,GK,2,-,-,-,-,-,-,-,-,-,-,-,-
438,Kranzmann Florian,GWD,LW,2,-,-,-,-,-,-,3,75.00%,-,-,1,100.00%
439,Nikolaisen Tom Kare,BHC,P,35,-,-,3,60.00%,-,-,-,-,28,75.68%,4,100.00%
440,Neudeck Oskar,FAG,LB,31,-,-,-,-,-,-,-,-,-,-,1,50.00%
441,Leppich Jonas,BHC,P,2,-,-,-,-,-,-,-,-,-,-,-,-
442,Muhlenstadt Timon,TBV,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
443,Dettenthaler Felix,COB,LW,11,-,-,-,-,-,-,2,66.67%,-,-,-,-
444,Orlov Maxim,BER,CB,3,-,-,-,-,-,-,-,-,-,-,-,-
445,Kompenhans Paul,MTM,CB,1,-,-,2,100.00%,2,100.00%,-,-,-,-,-,-
446,Kuntscher David,MTM,RB,4,-,-,-,-,-,-,-,-,-,-,-,-
447,Beekmann Ben,MTM,LW,9,-,-,-,-,-,-,1,100.00%,-,-,1,100.00%
448,Spath David,RNL,GK,26,-,-,-,-,-,-,-,-,-,-,-,-
449,Kirschberger Leon,SGF,RW,1,-,-,-,-,-,-,-,-,-,-,-,-
450,Veigel Kaspar,RNL,RW,17,-,-,-,-,-,-,4,50.00%,-,-,-,-
451,Nowak Marcel,BER,RB,5,-,-,-,-,-,-,-,-,-,-,-,-
452,Calvert Bevan,THW,RB,7,-,-,-,-,-,-,1,100.00%,-,-,2,100.00%
453,Schmidt Jesper,THW,LW,2,-,-,-,-,-,-,-,-,-,-,-,-
454,Wager Philipp Maximilian,THW,LB,8,-,-,-,-,-,-,-,-,-,-,-,-
455,Saggau Philip Hartwig,THW,GK,4,-,-,-,-,-,-,-,-,-,-,-,-
456,Reitemann Michel,TBV,P,2,-,-,-,-,-,-,-,-,1,100.00%,-,-
458,Blaauw Niko,TBV,CB,9,-,-,-,-,-,-,-,-,-,-,-,-
459,Leun Finn-Lukas,LEI,RB,6,-,-,3,75.00%,-,-,-,-,-,-,-,-
460,Sajenev Mika Laurin,LEI,P,1,-,-,-,-,-,-,-,-,-,-,-,-
461,Fischer Justus,HAN,P,14,-,-,-,-,-,-,-,-,-,-,1,100.00%
462,Hejny Maximilian,FAG,RB,4,-,-,-,-,-,-,-,-,-,-,-,-
463,Gorpishin Sergey,LUD,P,3,-,-,-,-,-,-,-,-,-,-,-,-
464,Ciudad Benitez Leon,THW,P,17,-,-,4,80.00%,-,-,-,-,2,66.67%,1,100.00%
465,Heitkamp Niclas,LEI,LB,7,-,-,-,-,-,-,-,-,1,100.00%,-,-
466,Demerza Alexej,GWD,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
467,Oetjen Thore,TBV,P,3,-,-,-,-,-,-,-,-,-,-,-,-
468,Klimpke Ole,WET,LB,18,-,-,1,100.00%,2,50.00%,-,-,-,-,-,-
469,Kassing Jakob,COB,LB,7,-,-,-,-,-,-,-,-,-,-,-,-
470,Leun Jakob-Jannis,LEI,RB,3,-,-,2,66.67%,-,-,-,-,-,-,-,-
471,Huber Elias,HBW,CB,4,-,-,1,100.00%,-,-,-,-,-,-,1,100.00%
472,Gansau Elias,LEI,LB,13,-,-,-,-,1,50.00%,-,-,-,-,-,-
473,Scheiner Joshua,TVB,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
474,Ayar Koray,HAN,P,2,-,-,-,-,-,-,-,-,-,-,-,-
475,Hollstein Maximilian,TBV,LW,1,-,-,-,-,-,-,-,-,-,-,-,-
476,Herz Christian,TBV,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
477,Schmitz Tobias,BHC,LW,2,-,-,1,100.00%,-,-,1,100.00%,-,-,-,-
478,Thomas Julian,BHC,RW,9,-,-,-,-,-,-,2,66.67%,-,-,1,100.00%
479,Buchele Julian,FAG,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
480,Zacharias Lion,RNL,LW,3,-,-,-,-,-,-,1,100.00%,-,-,1,100.00%
481,Reidegeld Jona,TUE,RW,1,-,-,-,-,-,-,-,-,-,-,-,-
482,Behrendt Niclas,SCM,GK,5,-,-,-,-,-,-,-,-,-,-,-,-
483,Backhaus Theodor Felix,SGF,GK,7,-,-,-,-,-,-,-,-,-,-,-,-
484,Hopfmann Luca,LEI,RB,5,-,-,-,-,-,-,-,-,-,-,-,-
485,Grupe Mats,RNL,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
486,Eckart Dominik,LEI,,1,-,-,-,-,-,-,-,-,-,-,-,-
487,Hansen Hark,TBV,RB,2,-,-,-,-,-,-,-,-,-,-,-,-
488,Eberle Finn,TVB,,1,-,-,-,-,-,-,-,-,-,-,-,-
