POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
289,Pavlovic Domagoj,MTM,CB,22,-,-,32,78.05%,17,73.91%,-,-,6,85.71%,-,-
290,Mrakovcic Luka,NLB,CB,33,-,-,41,64.06%,12,34.29%,-,-,2,50.00%,2,50.00%
291,Komok Gennadiy,WET,GK,9,-,-,-,-,-,-,-,-,-,-,-,-
292,Cehte Nejc,HAN,RB,32,-,-,28,59.57%,26,44.83%,1,100.00%,1,33.33%,1,33.33%
293,Ferlin Klemen,HCE,GK,28,-,-,-,-,-,-,-,-,-,-,-,-
294,Vujovic Miljan,TVB,GK,13,-,-,-,-,-,-,-,-,-,-,-,-
295,Grebenc Jan,GWD,LB,30,-,-,16,69.57%,18,43.90%,1,100.00%,-,-,5,100.00%
296,Myrhol Bjarte Hakon,THW,P,3,-,-,-,-,-,-,-,-,2,40.00%,-,-
297,Pesic Ivan,TVB,GK,22,-,-,-,-,-,-,-,-,-,-,-,-
298,Kuzmanovski Filip,HAN,LB,34,-,-,49,70.00%,26,55.32%,1,100.00%,1,100.00%,16,94.12%
299,Meister Lucas,GWD,P,33,-,-,5,45.45%,-,-,-,-,34,58.62%,5,100.00%
300,Peshevski Zarko,TVB,P,34,-,-,3,30.00%,-,-,-,-,77,71.30%,-,-
301,Andersson Lasse Bredekjaer,BER,LB,34,-,-,39,62.90%,77,50.66%,-,-,-,-,10,76.92%
302,Kessler Maximilian,RNL,LW,1,-,-,-,-,-,-,1,33.33%,-,-,-,-
303,Rubin Lenny,WET,LB,33,-,-,64,69.57%,68,46.58%,1,33.33%,1,50.00%,20,95.24%
304,Saeveraas Kristian,LEI,GK,34,-,-,-,-,1,100.00%,-,-,-,-,-,-
305,Leban Patrik,HCE,CB,34,-,-,11,73.33%,3,50.00%,-,-,1,25.00%,-,-
306,Srsen Ivan,WET,RB,34,-,-,16,59.26%,6,50.00%,-,-,-,-,1,100.00%
307,Weck Alexander,BHC,LB,33,-,-,15,57.69%,50,46.30%,-,-,-,-,1,100.00%
308,Kusan Tomislav,WET,P,18,-,-,-,-,-,-,-,-,17,94.44%,1,100.00%
309,Holm Jacob,BER,CB,33,-,-,104,74.29%,25,40.98%,-,-,1,33.33%,4,100.00%
310,Gertges Jonas,HSV,LW,24,-,-,-,-,-,-,1,100.00%,-,-,-,-
311,Simonsen Christian Ole,LEI,GK,1,-,-,-,-,-,-,-,-,-,-,-,-
312,Milosavljev Dejan,BER,GK,34,-,-,-,-,-,-,-,-,-,-,-,-
313,Ingason Daniel Thor,HBW,LB,34,-,-,9,50.00%,18,47.37%,-,-,2,50.00%,-,-
314,Sogard Johannessen Goran,SGF,LB,21,-,-,21,72.41%,14,51.85%,-,-,-,-,5,100.00%
315,Kirkelokke Niclas,RNL,RB,34,-,-,44,66.67%,49,45.79%,-,-,1,100.00%,6,85.71%
316,Overby Petter,HCE,P,30,-,-,1,50.00%,-,-,-,-,14,82.35%,9,90.00%
317,Einarsson Teitur Orn,SGF,RB,25,-,-,26,61.90%,44,61.97%,1,100.00%,-,-,-,-
319,Strosack Moritz,HBW,RW,26,-,-,2,100.00%,-,-,45,72.58%,5,83.33%,28,93.33%
320,Bergner Tom,BHC,P,29,-,-,-,-,-,-,-,-,17,70.83%,-,-
321,Geis Linus,TBV,LB,11,-,-,-,-,-,-,-,-,-,-,-,-
322,Ehlers Matteo,HAN,CB,6,-,-,-,-,-,-,-,-,-,-,-,-
323,Volz Patrick,HBW,LW,20,-,-,2,100.00%,-,-,8,80.00%,-,-,2,66.67%
324,Andersen Frederik Bo,HSV,RW,32,-,-,2,50.00%,2,100.00%,29,54.72%,-,-,15,78.95%
325,Sunnefeldt Oskar,LEI,LB,34,-,-,21,53.85%,18,40.00%,-,-,1,100.00%,3,100.00%
326,Todorovic Uros,HBW,RB,16,-,-,5,100.00%,2,25.00%,-,-,-,-,-,-
327,Sarac Josip,FAG,LB,13,-,-,13,72.22%,3,37.50%,-,-,1,100.00%,-,-
328,Ruminsky Mario,HBW,GK,33,-,-,-,-,-,-,-,-,-,-,3,100.00%
329,Hutecek Lukas,TBV,CB,29,-,-,31,72.09%,13,38.24%,-,-,-,-,2,100.00%
330,Stevanovic Nikola,HBW,RB,15,-,-,4,66.67%,1,20.00%,-,-,-,-,1,100.00%
331,Diocou Soumare Mamadou,RNL,RB,14,-,-,-,-,-,-,7,41.18%,-,-,5,62.50%
332,Marschall Tarek,HCE,CB,19,-,-,-,-,1,25.00%,-,-,-,-,-,-
333,Klein Sebastian,FAG,GK,8,-,-,-,-,-,-,-,-,-,-,-,-
334,Baranasic Filip,HBW,GK,2,-,-,-,-,-,-,-,-,-,-,-,-
335,Horzen Kristjan,RNL,P,34,-,-,3,100.00%,-,-,-,-,33,68.75%,1,33.33%
336,Nyfjall Adam,WET,P,34,-,-,4,44.44%,-,-,1,100.00%,69,75.82%,19,90.48%
337,Augustinussen Sebastian,TVB,RW,32,-,-,2,50.00%,1,33.33%,28,51.85%,2,100.00%,2,50.00%
338,Juric Petar,HAN,CB,1,-,-,-,-,-,-,-,-,-,-,1,100.00%
